Topic	Words	Probabilities
Topic 74	('extinctions', 'extinction', 'species', 'endangered', 'extinct', 'phylogenetic', 'iucn', 'phylogeny', 'conservation', 'evolutionary')	(0.59258354, 0.5732688, 0.49551076, 0.45728242, 0.45447665, 0.4501146, 0.40130883, 0.37612754, 0.31115198, 0.29057965)
Topic 75	('headwaters', 'hydrological', 'ecosystems', 'rivers', 'river', 'synchrony', 'fluvial', 'metapopulation', 'downstream', 'basins')	(0.4483561, 0.41039884, 0.3850018, 0.35863513, 0.34670419, 0.32024843, 0.30035818, 0.29761073, 0.29533854, 0.29041386)
Topic 76	('sapotaceae', 'seeds', 'fruits', 'dispersal', 'fruit', 'myristicaceae', 'germination', 'seed', 'fruiting', 'berries')	(0.50078845, 0.47179067, 0.43495423, 0.4309852, 0.40716055, 0.39658743, 0.39108387, 0.38521102, 0.3802311, 0.36591968)
Topic 77	('warmingstability', 'temperatures', 'warming', 'temperature', 'thermal', 'energetic', 'energy', 'biomass', 'extinction', 'interspecific')	(0.44639662, 0.4396411, 0.41945288, 0.41195488, 0.36980045, 0.36648774, 0.337249, 0.33143595, 0.2960605, 0.29177752)
Topic 78	('photosynthesis', 'algae', 'corallioides', 'co2', 'coral', 'irradiances', 'acidication', 'irradiance', 'calcification', 'corallines')	(0.5417678, 0.3844036, 0.32664233, 0.3119689, 0.3028769, 0.28257623, 0.28216308, 0.27980435, 0.26992667, 0.26559466)
Topic 79	('forests', 'forest', 'modelling', 'models', 'vegetation', 'ecological', 'model', 'biomass', 'climate', 'simulations')	(0.46990576, 0.43416658, 0.41353607, 0.39811224, 0.38549465, 0.350301, 0.3189288, 0.30659556, 0.28833395, 0.28542715)
Topic 80	('dispersal', 'seedlings', 'climates', 'seedling', 'germination', 'climate', 'vegetation', 'grassland', 'climatic', 'grasslands')	(0.44433564, 0.44062406, 0.4388938, 0.4025643, 0.38728955, 0.37979728, 0.37727365, 0.37712252, 0.37406495, 0.3630029)
Topic 81	('species', 'climatic', 'extinctions', 'climate', 'habitat', 'warming', 'earthworms', 'salamanders', 'lumbricidae', 'communities')	(0.49076566, 0.44566408, 0.4446518, 0.4416697, 0.38722414, 0.33005294, 0.32919985, 0.30437788, 0.29100144, 0.26415804)
Topic 82	('phytoplankton', 'ecosystem', 'temperatures', 'photosynthesis', 'temperature', 'warming', 'nutrient', 'nutrients', 'chlorophyll', 'metabolic')	(0.54723513, 0.37242305, 0.3304107, 0.3286878, 0.32093218, 0.30451554, 0.30419648, 0.27340195, 0.24753644, 0.24521264)
Topic 83	('grasslands', 'grassland', 'habitats', 'biodiversity', 'habitat', 'pastures', 'speciesspecies', 'landscapes', 'species', 'gardens')	(0.57557225, 0.5671788, 0.50646424, 0.49593425, 0.46544236, 0.45272058, 0.39758486, 0.3960206, 0.3929608, 0.3798064)
Topic 84	('speciesabundance', 'species', 'abundances', 'clusters', 'cluster', 'abundance', 'speciesarea', 'forests', 'clustering', 'similarity')	(0.4273438, 0.40922576, 0.40109196, 0.38911137, 0.38260248, 0.38137656, 0.3762538, 0.3747505, 0.35302103, 0.2823101)
Topic 85	('species', 'speciation', 'phylogenetic', 'evolutionary', 'ecological', 'butterflies', 'niches', 'mimicry', 'mimics', 'nymphalidae')	(0.50275505, 0.4869002, 0.46304983, 0.42701435, 0.42052394, 0.39819318, 0.39579803, 0.36391205, 0.3547262, 0.3386133)
Topic 86	('evolves', 'predation', 'evolution', 'evolve', 'species', 'prey', 'evolving', 'predator', 'trophic', 'emergence')	(0.436482, 0.43189377, 0.42332342, 0.41660336, 0.39626396, 0.39382768, 0.39160395, 0.32261312, 0.3155377, 0.31486225)
Topic 87	('wellbeing', 'sustainability', 'environment', 'environmental', 'definitions', 'thriving', 'being', 'worldviews', 'contexts', 'health')	(0.57309353, 0.38443953, 0.36121282, 0.36059546, 0.33584687, 0.3288688, 0.31525958, 0.31277204, 0.30767423, 0.30724826)
Topic 88	('pesticides', 'insecticides', 'pesticide', 'insecticide', 'herbicides', 'biodiversity', 'fauna', 'invertebrates', 'soil', 'fungicides')	(0.5473033, 0.52588093, 0.51056623, 0.49145803, 0.48344678, 0.423275, 0.37729394, 0.374417, 0.36523736, 0.3587299)
